No.,Kode  Saham,Nama  Penerbit  Efek,ISSI
1,AADI,Adaro Andalan Indonesia Tbk,Ya
2,AALI,Astra Agro Lestari Tbk,Ya
3,ABMM,ABM Investama Tbk,Ya
4,ACES,Aspirasi Hidup Indonesia Tbk,Ya
5,ACST,Acset Indonusa Tbk,Ya
6,ADCP,Adhi Commuter Properti Tbk,Ya
7,ADES,Akasha Wira International Tbk,Ya
8,ADHI,Adhi Karya (Persero) Tbk,Ya
9,ADMG,Polychem Indonesia Tbk,Ya
10,ADMR,Alamtri Minerals Indonesia Tbk,Ya
11,ADRO,Alamtri Resources Indonesia Tbk,Ya
12,AEGS,Anugerah Spareparts Sejahtera Tbk,Tidak
13,AGAR,Asia Sejahtera Mina Tbk,Ya
14,AGII,Samator Indo Gas Tbk,Ya
15,AIMS,Artha Mahiya Investama Tbk,Ya
16,AISA,FKS Food Sejahtera Tbk,Ya
17,AKKU,Anugerah Kagum Karya Utama Tbk,Ya
18,AKPI,Argha Karya Prima Ind. Tbk,Ya
19,AKRA,AKR Corporindo Tbk,Ya
20,AKSI,Mineral Sumberdaya Mandiri Tbk,Ya
21,ALDO,Alkindo Naratama Tbk,Ya
22,ALKA,Alakasa Industrindo Tbk,Ya
23,AMAN,Makmur Berkah Amanda Tbk,Ya
24,AMFG,Asahimas Flat Glass Tbk,Ya
25,AMIN,Ateliers Mecaniques D Indonesie Tbk,Ya
26,AMMS,Agung Menjangan Mas Tbk,Tidak
27,ANDI,Andira Agro Tbk,Ya
28,ANJT,Austindo Nusantara Jaya Tbk,Ya
29,ANTM,Aneka Tambang Tbk,Ya
30,APII,Arita Prima Indonesia Tbk,Ya
31,APLI,Asiaplast Industries Tbk,Ya
32,APLN,Agung Podomoro Land Tbk,Ya
33,ARCI,Archi Indonesia Tbk,Ya
34,AREA,Dunia Virtual Online Tbk,Ya
35,ARGO,Argo Pantes Tbk,Ya
36,ARII,Atlas Resources Tbk,Ya
37,ARNA,Arwana Citramulia Tbk,Ya
38,ARTA,Arthavest Tbk,Ya
39,ASGR,Astra Graphia Tbk,Ya
40,ASHA,Cilacap Samudera Fishing Industry Tbk,Ya
41,ASII,Astra International Tbk,Ya
42,ASLC,Autopedia Sukses Lestari Tbk,Ya
43,ASLI,Asri Karya Lestari Tbk,Ya
44,ASPI,Andalan Sakti Primaindo Tbk,Ya
45,ASRI,Alam Sutera Realty Tbk,Ya
46,ASSA,Adi Sarana Armada Tbk,Ya
47,ATAP,Trimitra Prawara Goldland Tbk,Ya
48,ATIC,Anabatic Technologies Tbk,Ya
49,ATLA,Atlantis Subsea Indonesia Tbk,Ya
50,AUTO,Astra Otoparts Tbk,Ya
51,AVIA,Avia Avian Tbk,Ya
52,AWAN,Era Digital Media Tbk,Ya
53,AXIO,Tera Data Indonusa Tbk,Ya
54,AYAM,Janu Putra Sejahtera Tbk,Ya
55,AYLS,Agro Yasa Lestari Tbk,Ya
56,BABY,Multitrend Indo Tbk,Ya
57,BAIK,Bersama Mencapai Puncak Tbk,Ya
58,BANK,Bank Aladin Syariah Tbk,Ya
59,BAPI,Bhakti Agung Propertindo Tbk,Ya
60,BATA,Sepatu Bata Tbk,Ya
61,BATR,Benteng Api Technic Tbk,Ya
62,BAUT,Mitra Angkasa Sejahtera Tbk,Ya
63,BAYU,Bayu Buana Tbk,Ya
64,BBRM,Pelayaran Nasional Bina Buana Raya Tbk,Ya
65,BBSS,Bumi Benowo Sukses Sejahtera Tbk,Ya
66,BCIP,Bumi Citra Permai Tbk,Ya
67,BDKR,Berdikari Pondasi Perkasa Tbk,Ya
68,BEEF,Estika Tata Tiara Tbk,Ya
69,BELI,Global Digital Niaga Tbk,Ya
70,BELL,Trisula Textile Industries Tbk,Ya
71,BESS,Batulicin Nusantara Maritim Tbk,Ya
72,BEST,Bekasi Fajar Industrial Estate Tbk,Ya
73,BIKE,Sepeda Bersama Indonesia Tbk,Ya
74,BINO,Perma Plasindo Tbk,Ya
75,BIPP,Bhuwanatala Indah Permai Tbk,Ya
76,BIRD,Blue Bird Tbk,Ya
77,BISI,BISI International Tbk,Ya
78,BKDP,Bukit Darmo Property Tbk,Ya
79,BKSL,Sentul City Tbk,Ya
80,BLES,Superior Prima Sukses Tbk,Ya
81,BLOG,Trimitra Trans Persada Tbk,Ya
82,BLTA,Berlian Laju Tanker Tbk,Ya
83,BLTZ,Graha Layar Prima Tbk,Ya
84,BLUE,Berkah Prima Perkasa Tbk,Ya
85,BMBL,Lavender Bina Cendikia Tbk,Tidak
86,BMHS,Bundamedik Tbk,Ya
87,BMSR,Bintang Mitra Semestaraya Tbk,Ya
88,BMTR,Global Mediacom Tbk,Ya
89,BNBR,Bakrie & Brothers Tbk,Ya
90,BOAT,Newport Marine Services Tbk,Ya
91,BOBA,Formosa Ingredient Factory Tbk,Ya
